device;detector;time;traffic_monday;traffic_tuesday;traffic_wednesday;traffic_thursday;traffic_friday;traffic_saturday;traffic_sunday
tre133;a60;00-01;0;0;0;0;0;0;0
tre133;a_31;00-01;0;0;60;180;0;120;180
tre133;b60_1;00-01;0;0;60;0;0;0;120
tre133;b60_2;00-01;0;0;0;0;0;0;0
tre133;b_55_1;00-01;0;0;60;0;0;60;120
tre133;b_55_2;00-01;0;60;0;0;0;60;0
tre133;c60;00-01;0;60;0;0;0;60;60
tre133;d50;00-01;0;0;0;0;0;0;0
tre133;e_41_1;00-01;0;60;0;0;0;0;0
tre133;e_41_2;00-01;0;60;0;0;0;0;0
tre133;f50;00-01;0;0;0;0;0;60;60
tre133;a60;01-02;0;0;0;0;0;0;0
tre133;a_31;01-02;0;0;60;0;60;120;120
tre133;b60_1;01-02;60;0;0;0;0;0;60
tre133;b60_2;01-02;0;0;0;0;0;0;0
tre133;b_55_1;01-02;60;0;60;0;0;0;60
tre133;b_55_2;01-02;0;0;0;0;60;60;0
tre133;c60;01-02;0;0;60;0;60;60;60
tre133;d50;01-02;0;0;0;0;60;60;0
tre133;e_41_1;01-02;0;0;0;0;0;0;0
tre133;e_41_2;01-02;0;0;0;0;0;0;0
tre133;f50;01-02;60;0;60;0;0;0;0
tre133;a60;02-03;0;0;0;0;0;0;0
tre133;a_31;02-03;0;60;0;0;60;0;0
tre133;b60_1;02-03;0;0;60;60;0;0;60
tre133;b60_2;02-03;60;0;0;0;0;0;120
tre133;b_55_1;02-03;0;60;0;60;0;0;180
tre133;b_55_2;02-03;0;0;0;0;0;0;120
tre133;c60;02-03;0;0;0;0;0;60;0
tre133;d50;02-03;0;0;0;0;0;240;0
tre133;e_41_1;02-03;0;0;0;0;0;180;60
tre133;e_41_2;02-03;0;0;0;0;0;60;120
tre133;f50;02-03;0;60;0;0;0;60;60
tre133;a60;03-04;0;0;0;0;0;0;0
tre133;a_31;03-04;0;0;0;0;60;0;60
tre133;b60_1;03-04;0;0;0;0;60;0;0
tre133;b60_2;03-04;0;0;0;0;0;0;0
tre133;b_55_1;03-04;120;0;0;60;180;0;0
tre133;b_55_2;03-04;60;0;0;60;0;0;0
tre133;c60;03-04;0;60;0;0;60;0;0
tre133;d50;03-04;60;0;0;0;180;0;120
tre133;e_41_1;03-04;0;0;0;0;0;0;0
tre133;e_41_2;03-04;0;0;0;0;0;0;0
tre133;f50;03-04;0;0;0;60;0;0;60
tre133;a60;04-05;0;0;0;0;0;0;0
tre133;a_31;04-05;0;0;60;0;60;60;60
tre133;b60_1;04-05;0;60;0;0;60;0;60
tre133;b60_2;04-05;0;0;0;0;0;0;0
tre133;b_55_1;04-05;0;60;60;0;60;0;0
tre133;b_55_2;04-05;0;0;0;0;0;0;0
tre133;c60;04-05;0;180;0;0;0;0;60
tre133;d50;04-05;60;60;0;0;180;0;0
tre133;e_41_1;04-05;0;0;0;60;0;0;0
tre133;e_41_2;04-05;0;0;0;60;0;0;60
tre133;f50;04-05;0;120;0;0;0;0;0
tre133;a60;05-06;0;0;0;0;0;0;0
tre133;a_31;05-06;180;180;120;0;60;60;0
tre133;b60_1;05-06;0;0;60;0;0;0;0
tre133;b60_2;05-06;0;60;180;0;0;0;0
tre133;b_55_1;05-06;240;60;120;60;180;0;60
tre133;b_55_2;05-06;0;60;120;60;0;0;0
tre133;c60;05-06;60;0;0;0;60;0;0
tre133;d50;05-06;0;0;60;0;60;60;0
tre133;e_41_1;05-06;0;0;0;0;60;0;0
tre133;e_41_2;05-06;0;0;0;0;120;0;60
tre133;f50;05-06;240;60;0;120;240;0;0
tre133;a60;06-07;0;0;0;0;0;0;0
tre133;a_31;06-07;120;300;300;300;180;120;0
tre133;b60_1;06-07;300;0;360;0;120;0;60
tre133;b60_2;06-07;180;0;60;0;240;0;0
tre133;b_55_1;06-07;420;600;360;120;120;60;120
tre133;b_55_2;06-07;120;120;60;120;180;0;0
tre133;c60;06-07;120;360;120;120;180;60;0
tre133;d50;06-07;0;120;0;60;60;0;0
tre133;e_41_1;06-07;60;120;120;240;120;60;0
tre133;e_41_2;06-07;120;180;60;480;60;60;0
tre133;f50;06-07;300;600;120;60;240;60;60
tre133;a60;07-08;0;0;0;0;0;0;0
tre133;a_31;07-08;600;720;240;660;720;0;0
tre133;b60_1;07-08;60;0;240;240;300;0;0
tre133;b60_2;07-08;360;360;240;300;240;0;0
tre133;b_55_1;07-08;720;540;1020;480;720;60;60
tre133;b_55_2;07-08;300;300;240;300;60;0;0
tre133;c60;07-08;540;420;480;360;660;120;60
tre133;d50;07-08;0;180;240;180;60;60;60
tre133;e_41_1;07-08;360;120;600;180;360;0;0
tre133;e_41_2;07-08;420;240;540;360;540;120;60
tre133;f50;07-08;1260;540;720;360;420;60;0
tre133;a60;08-09;0;0;0;0;0;0;0
tre133;a_31;08-09;480;480;720;600;240;180;60
tre133;b60_1;08-09;180;120;180;180;60;120;60
tre133;b60_2;08-09;60;60;0;60;180;60;60
tre133;b_55_1;08-09;480;480;540;480;480;300;60
tre133;b_55_2;08-09;180;180;120;120;60;180;60
tre133;c60;08-09;240;360;540;420;120;180;240
tre133;d50;08-09;240;120;60;120;0;120;0
tre133;e_41_1;08-09;120;300;300;120;180;60;0
tre133;e_41_2;08-09;180;300;360;180;120;420;180
tre133;f50;08-09;300;240;480;480;720;180;60
tre133;a60;09-10;0;0;0;0;0;0;0
tre133;a_31;09-10;540;480;540;360;660;240;0
tre133;b60_1;09-10;180;360;180;420;300;180;0
tre133;b60_2;09-10;0;180;180;0;240;0;60
tre133;b_55_1;09-10;660;240;480;360;420;300;60
tre133;b_55_2;09-10;180;60;60;300;180;180;120
tre133;c60;09-10;480;420;60;240;540;180;60
tre133;d50;09-10;180;120;360;240;240;60;60
tre133;e_41_1;09-10;180;300;180;300;540;0;0
tre133;e_41_2;09-10;300;420;300;180;660;0;120
tre133;f50;09-10;780;300;240;480;420;480;120
tre133;a60;10-11;0;0;0;0;0;0;0
tre133;a_31;10-11;180;480;240;540;420;480;300
tre133;b60_1;10-11;240;300;120;120;60;60;120
tre133;b60_2;10-11;120;180;120;0;180;0;60
tre133;b_55_1;10-11;420;360;540;480;600;600;300
tre133;b_55_2;10-11;120;120;180;120;360;240;60
tre133;c60;10-11;120;180;120;120;180;180;120
tre133;d50;10-11;180;180;180;120;240;240;120
tre133;e_41_1;10-11;420;120;360;180;120;360;60
tre133;e_41_2;10-11;360;300;300;180;480;240;60
tre133;f50;10-11;360;480;720;360;300;720;180
tre133;a60;11-12;0;0;0;0;0;0;0
tre133;a_31;11-12;1020;420;660;480;720;360;600
tre133;b60_1;11-12;60;300;300;180;300;420;420
tre133;b60_2;11-12;0;120;60;0;0;120;0
tre133;b_55_1;11-12;360;360;420;540;780;480;360
tre133;b_55_2;11-12;120;180;300;60;180;240;180
tre133;c60;11-12;360;180;60;240;480;360;360
tre133;d50;11-12;300;180;480;420;300;60;420
tre133;e_41_1;11-12;720;300;420;300;360;120;360
tre133;e_41_2;11-12;720;240;240;300;540;0;300
tre133;f50;11-12;420;300;540;240;420;300;240
tre133;a60;12-13;0;0;0;0;0;0;0
tre133;a_31;12-13;660;420;540;660;600;600;300
tre133;b60_1;12-13;480;360;300;60;180;240;300
tre133;b60_2;12-13;120;180;0;120;60;60;0
tre133;b_55_1;12-13;420;540;780;300;420;480;300
tre133;b_55_2;12-13;60;180;360;360;360;180;60
tre133;c60;12-13;180;240;60;300;300;840;0
tre133;d50;12-13;360;240;180;180;120;240;180
tre133;e_41_1;12-13;360;300;120;180;660;180;120
tre133;e_41_2;12-13;540;480;420;360;540;900;180
tre133;f50;12-13;420;540;720;180;240;360;120
tre133;a60;13-14;0;0;0;0;0;0;0
tre133;a_31;13-14;300;600;600;480;780;840;720
tre133;b60_1;13-14;300;360;180;480;180;360;120
tre133;b60_2;13-14;300;120;120;120;60;120;0
tre133;b_55_1;13-14;360;120;480;240;540;180;360
tre133;b_55_2;13-14;120;120;180;120;360;120;120
tre133;c60;13-14;240;180;180;300;360;540;480
tre133;d50;13-14;240;420;540;360;180;480;240
tre133;e_41_1;13-14;180;180;120;240;300;420;120
tre133;e_41_2;13-14;240;120;180;240;180;1020;480
tre133;f50;13-14;180;180;120;300;240;240;420
tre133;a60;14-15;0;0;0;0;0;0;0
tre133;a_31;14-15;1320;1200;0;480;900;420;300
tre133;b60_1;14-15;300;240;0;60;180;420;180
tre133;b60_2;14-15;180;60;0;60;180;120;0
tre133;b_55_1;14-15;60;120;0;360;420;300;360
tre133;b_55_2;14-15;180;120;0;60;120;60;120
tre133;c60;14-15;1140;960;0;480;1020;420;660
tre133;d50;14-15;300;420;0;300;120;300;120
tre133;e_41_1;14-15;480;720;0;240;720;300;540
tre133;e_41_2;14-15;720;720;0;540;840;600;720
tre133;f50;14-15;0;60;0;120;480;120;360
tre133;a60;15-16;0;0;0;0;0;0;0
tre133;a_31;15-16;660;600;1020;360;1500;720;780
tre133;b60_1;15-16;300;180;60;120;180;120;120
tre133;b60_2;15-16;180;120;180;300;120;0;60
tre133;b_55_1;15-16;300;420;420;480;180;180;480
tre133;b_55_2;15-16;240;180;360;180;240;60;120
tre133;c60;15-16;780;720;840;900;360;240;120
tre133;d50;15-16;240;240;360;60;180;300;240
tre133;e_41_1;15-16;480;480;660;720;480;240;360
tre133;e_41_2;15-16;900;720;900;900;600;420;360
tre133;f50;15-16;240;360;540;360;240;60;540
tre133;a60;16-17;0;0;0;0;0;0;0
tre133;a_31;16-17;480;900;660;660;960;660;480
tre133;b60_1;16-17;300;240;120;180;120;360;120
tre133;b60_2;16-17;120;180;120;300;120;60;0
tre133;b_55_1;16-17;480;240;480;300;420;360;660
tre133;b_55_2;16-17;240;60;180;120;120;180;420
tre133;c60;16-17;420;840;660;540;720;420;300
tre133;d50;16-17;480;480;180;180;240;240;180
tre133;e_41_1;16-17;180;480;540;600;600;780;180
tre133;e_41_2;16-17;180;960;660;600;720;600;360
tre133;f50;16-17;420;60;240;300;180;300;600
tre133;a60;17-18;0;0;0;0;0;0;0
tre133;a_31;17-18;420;720;720;600;720;600;180
tre133;b60_1;17-18;60;180;240;180;240;360;60
tre133;b60_2;17-18;60;0;120;0;240;120;60
tre133;b_55_1;17-18;420;360;300;180;420;60;120
tre133;b_55_2;17-18;180;240;180;240;180;0;240
tre133;c60;17-18;600;420;480;720;840;480;540
tre133;d50;17-18;120;480;420;300;300;120;300
tre133;e_41_1;17-18;600;360;360;420;360;420;420
tre133;e_41_2;17-18;720;360;540;540;600;420;660
tre133;f50;17-18;480;60;120;240;300;0;300
tre133;a60;18-19;0;0;0;0;0;0;0
tre133;a_31;18-19;420;420;360;180;360;240;540
tre133;b60_1;18-19;120;60;300;60;120;180;120
tre133;b60_2;18-19;0;0;0;120;0;60;0
tre133;b_55_1;18-19;120;420;420;420;180;360;240
tre133;b_55_2;18-19;180;180;180;60;0;60;180
tre133;c60;18-19;240;480;480;540;660;120;420
tre133;d50;18-19;120;300;180;360;240;120;180
tre133;e_41_1;18-19;600;480;240;240;300;180;300
tre133;e_41_2;18-19;720;540;300;660;660;300;480
tre133;f50;18-19;240;240;360;300;60;360;120
tre133;a60;19-20;0;0;0;0;0;0;0
tre133;a_31;19-20;300;240;300;360;240;420;240
tre133;b60_1;19-20;120;180;120;300;240;60;0
tre133;b60_2;19-20;60;0;0;120;60;0;0
tre133;b_55_1;19-20;120;240;180;180;60;0;180
tre133;b_55_2;19-20;180;240;180;60;60;0;180
tre133;c60;19-20;180;120;420;540;240;180;180
tre133;d50;19-20;240;0;180;120;120;180;120
tre133;e_41_1;19-20;240;240;300;60;60;60;180
tre133;e_41_2;19-20;240;120;420;420;300;180;120
tre133;f50;19-20;180;300;180;180;60;0;60
tre133;a60;20-21;0;0;0;0;0;0;0
tre133;a_31;20-21;240;300;180;180;180;180;360
tre133;b60_1;20-21;0;120;180;0;180;120;0
tre133;b60_2;20-21;60;0;180;0;0;0;0
tre133;b_55_1;20-21;180;180;120;300;360;600;180
tre133;b_55_2;20-21;60;60;60;60;180;60;120
tre133;c60;20-21;60;240;120;240;300;120;240
tre133;d50;20-21;480;360;120;120;120;240;60
tre133;e_41_1;20-21;120;240;120;120;120;300;240
tre133;e_41_2;20-21;120;120;180;240;300;180;360
tre133;f50;20-21;240;120;120;360;360;420;240
tre133;a60;21-22;0;0;0;0;0;0;0
tre133;a_31;21-22;0;60;0;180;420;240;120
tre133;b60_1;21-22;60;60;120;60;240;60;0
tre133;b60_2;21-22;0;0;60;0;60;0;0
tre133;b_55_1;21-22;180;60;120;120;240;180;180
tre133;b_55_2;21-22;60;60;60;60;240;0;0
tre133;c60;21-22;60;120;120;120;180;60;60
tre133;d50;21-22;0;0;60;60;240;60;0
tre133;e_41_1;21-22;120;300;120;180;120;0;60
tre133;e_41_2;21-22;60;120;180;180;240;0;120
tre133;f50;21-22;60;60;0;0;240;180;120
tre133;a60;22-23;0;0;0;0;0;0;0
tre133;a_31;22-23;120;60;60;0;180;0;60
tre133;b60_1;22-23;0;0;0;60;0;0;60
tre133;b60_2;22-23;0;0;60;60;0;0;0
tre133;b_55_1;22-23;0;0;0;60;60;0;120
tre133;b_55_2;22-23;180;0;60;0;0;120;0
tre133;c60;22-23;120;60;0;180;0;0;0
tre133;d50;22-23;60;0;60;0;180;0;0
tre133;e_41_1;22-23;0;60;0;60;0;0;0
tre133;e_41_2;22-23;0;120;0;60;120;0;0
tre133;f50;22-23;0;0;0;0;60;60;0
tre133;a60;23-24;0;0;0;0;0;0;0
tre133;a_31;23-24;60;60;0;60;60;180;0
tre133;b60_1;23-24;60;0;0;0;120;60;0
tre133;b60_2;23-24;0;0;0;0;60;0;60
tre133;b_55_1;23-24;0;0;60;0;180;120;0
tre133;b_55_2;23-24;0;0;0;60;120;0;120
tre133;c60;23-24;60;0;0;0;60;120;60
tre133;d50;23-24;0;0;0;0;0;60;0
tre133;e_41_1;23-24;60;0;60;0;120;180;0
tre133;e_41_2;23-24;60;0;0;0;60;60;0
tre133;f50;23-24;0;0;0;0;60;60;0
